alphas.0	alphas.1	alphau.0	alphau.1	q
1.125156	0.375253	13.028108	0.169476	0.526009
1.125156	0.375252	13.028108	0.169476	0.476710
1.125169	0.375252	13.482595	0.169476	0.534248
1.125174	0.375252	14.060482	0.169476	0.517307
1.125168	0.375252	12.456964	0.169476	0.534457
1.125158	0.375253	12.456964	0.169476	0.489438
1.125154	0.375253	12.456964	0.169476	0.486193
1.125154	0.375253	12.456964	0.169476	0.490271
1.125157	0.375252	12.456964	0.169476	0.489975
1.125156	0.375251	16.035759	0.169476	0.553913
1.125152	0.375251	14.324552	0.169476	0.527709
1.125151	0.375251	14.324552	0.169476	0.512779
1.125150	0.375251	14.324552	0.169476	0.512677
1.125144	0.375251	14.324552	0.169476	0.593478
1.125142	0.375251	15.150089	0.169476	0.523954
1.125146	0.375252	11.201275	0.169476	0.467553
1.125152	0.375251	15.511146	0.169476	0.473171
1.125146	0.375249	15.463950	0.169476	0.503794
1.125151	0.375250	16.004693	0.169476	0.532940
1.125155	0.375249	16.816182	0.169476	0.640668
1.125153	0.375250	15.375987	0.169476	0.487493
1.125151	0.375249	9.426791	0.169476	0.512985
1.125146	0.375249	9.646284	0.169476	0.538140
1.125145	0.375249	11.342652	0.169476	0.514526
1.125149	0.375250	15.207651	0.169476	0.550412
1.125151	0.375249	15.207079	0.169475	0.547251
1.125149	0.375250	15.207079	0.169475	0.607027
1.125152	0.375250	15.477054	0.169475	0.521577
1.125156	0.375251	14.292207	0.169475	0.532844
1.125159	0.375250	10.953264	0.169475	0.534260
1.125152	0.375249	11.352133	0.169475	0.548879
1.125148	0.375249	11.311760	0.169475	0.555763
1.125146	0.375248	12.245176	0.169475	0.525095
1.125144	0.375249	12.245176	0.169475	0.559561
1.125136	0.375250	12.245176	0.169475	0.529524
1.125134	0.375251	12.245176	0.169475	0.534230
1.125132	0.375251	12.237313	0.169475	0.528245
1.125138	0.375251	12.531402	0.169475	0.560193
1.125135	0.375250	13.446566	0.169475	0.536848
1.125133	0.375251	10.146308	0.169475	0.531085
1.125129	0.375252	13.715120	0.169475	0.504424
1.125137	0.375251	13.715120	0.169475	0.514181
1.125140	0.375251	13.715120	0.169475	0.535212
1.125144	0.375251	10.749173	0.169475	0.506523
1.125144	0.375251	11.109426	0.169475	0.554694
1.125143	0.375251	9.807182	0.169475	0.535813
1.125132	0.375250	9.807182	0.169475	0.461670
1.125132	0.375252	9.807182	0.169475	0.526828
1.125119	0.375250	9.807182	0.169475	0.562179
1.125123	0.375249	9.507519	0.169475	0.576173
1.125134	0.375249	9.195942	0.169475	0.548988
1.125132	0.375249	9.195942	0.169475	0.509472
1.125132	0.375248	9.922427	0.169475	0.511904
1.125130	0.375248	12.627455	0.169475	0.503404
1.125133	0.375248	12.627455	0.169475	0.468475
1.125129	0.375248	15.930034	0.169475	0.501473
1.125126	0.375249	16.241705	0.169475	0.562548
1.125127	0.375249	15.515960	0.169475	0.490979
1.125123	0.375249	11.161391	0.169475	0.566712
1.125124	0.375248	14.442218	0.169475	0.510009
1.125121	0.375249	15.044872	0.169475	0.572033
1.125127	0.375249	15.044872	0.169475	0.580531
1.125124	0.375249	13.316604	0.169475	0.509599
1.125129	0.375250	13.316604	0.169475	0.521175
1.125132	0.375250	13.445874	0.169475	0.509106
1.125131	0.375249	11.927215	0.169475	0.560958
1.125136	0.375249	11.927215	0.169474	0.502272
1.125137	0.375249	11.927215	0.169475	0.568752
1.125123	0.375249	12.675001	0.169475	0.553854
1.125131	0.375250	13.765995	0.169474	0.486540
1.125134	0.375250	11.939313	0.169474	0.474417
1.125129	0.375250	14.489740	0.169474	0.559146
1.125130	0.375250	14.489740	0.169474	0.538519
1.125132	0.375251	13.538545	0.169474	0.525731
1.125144	0.375250	11.655918	0.169473	0.458011
1.125139	0.375250	11.655918	0.169473	0.549346
1.125146	0.375249	11.655918	0.169473	0.567029
1.125152	0.375249	9.888347	0.169473	0.520705
1.125152	0.375250	9.888347	0.169473	0.530143
1.125143	0.375250	9.998142	0.169473	0.524963
1.125146	0.375251	12.873039	0.169473	0.437302
1.125144	0.375250	15.603271	0.169473	0.520308
1.125142	0.375251	15.300177	0.169473	0.557418
1.125136	0.375253	15.300177	0.169473	0.444974
1.125130	0.375253	11.895990	0.169473	0.472886
1.125134	0.375253	10.334807	0.169473	0.520041
1.125133	0.375253	10.334807	0.169473	0.543781
1.125129	0.375253	11.924257	0.169473	0.532123
1.125122	0.375253	12.313629	0.169473	0.617491
1.125129	0.375253	12.093554	0.169473	0.500978
1.125122	0.375252	11.524977	0.169473	0.541146
1.125121	0.375253	12.765021	0.169473	0.475390
1.125117	0.375253	12.765021	0.169473	0.544419
1.125117	0.375252	9.714221	0.169473	0.466361
1.125114	0.375252	10.134475	0.169473	0.552556
1.125120	0.375251	10.214258	0.169473	0.580008
1.125118	0.375251	13.274863	0.169474	0.504481
1.125120	0.375251	13.011485	0.169473	0.572389
1.125121	0.375250	13.011485	0.169473	0.510903
1.125121	0.375251	13.011485	0.169473	0.541140
1.125125	0.375250	11.161616	0.169473	0.514133
1.125130	0.375250	14.611576	0.169474	0.543490
1.125127	0.375251	16.578350	0.169474	0.494148
1.125127	0.375251	16.578350	0.169474	0.462770
1.125132	0.375251	15.219138	0.169474	0.557638
1.125130	0.375252	15.141099	0.169474	0.519671
1.125129	0.375251	15.141099	0.169474	0.566463
1.125135	0.375251	14.220900	0.169474	0.521602
1.125136	0.375250	11.008209	0.169474	0.555431
1.125138	0.375250	11.008209	0.169474	0.496433
1.125139	0.375250	13.220413	0.169474	0.428219
1.125142	0.375249	12.726263	0.169474	0.558713
1.125144	0.375250	12.726263	0.169474	0.493703
1.125144	0.375250	12.986903	0.169474	0.503058
1.125149	0.375250	12.986903	0.169474	0.533821
1.125154	0.375251	13.073083	0.169474	0.554796
1.125156	0.375251	13.073083	0.169474	0.514987
1.125163	0.375251	13.085945	0.169474	0.491204
1.125158	0.375251	13.085945	0.169474	0.572241
1.125153	0.375250	15.088351	0.169474	0.547422
1.125169	0.375250	15.088351	0.169474	0.474298
1.125168	0.375251	14.255785	0.169474	0.508575
1.125167	0.375250	14.255785	0.169474	0.534901
1.125170	0.375250	11.673261	0.169474	0.526606
1.125159	0.375250	11.673261	0.169474	0.533623
1.125151	0.375250	11.673261	0.169474	0.503785
1.125156	0.375249	11.661304	0.169474	0.511517
1.125153	0.375249	11.661304	0.169474	0.525552
1.125160	0.375249	11.661304	0.169474	0.561764
1.125166	0.375249	11.661304	0.169474	0.573951
1.125172	0.375248	11.661304	0.169475	0.543947
1.125178	0.375249	15.106151	0.169475	0.576289
1.125182	0.375248	13.822618	0.169475	0.491749
1.125185	0.375248	14.840009	0.169475	0.581148
1.125183	0.375249	14.840009	0.169474	0.535075
1.125184	0.375249	14.840009	0.169475	0.519617
1.125180	0.375248	14.840009	0.169475	0.491146
